Date,driving,transit,walking,y,y-1,y-2,y-3,y-4,y-5
2020-07-13,-3.6800000000000064,-53.56,-4.230000000000004,2580,3307,2884,2620,1734,2465
2020-07-14,-3.5,-55.12,-4.290000000000006,4178,2580,3307,2884,2620,1734
2020-07-15,-2.1500000000000057,-56.39,-4.319999999999993,2702,4178,2580,3307,2884,2620
2020-07-16,-0.28000000000000114,-57.18,-1.6200000000000043,4459,2702,4178,2580,3307,2884
2020-07-17,11.689999999999998,-55.35,10.760000000000005,2851,4459,2702,4178,2580,3307
2020-07-18,4.8700000000000045,-60.37,12.11,2722,2851,4459,2702,4178,2580
2020-07-19,-13.209999999999996,-65.31,-11.180000000000007,2846,2722,2851,4459,2702,4178
2020-07-20,-4.200000000000003,-55.46,-4.959999999999994,3158,2846,2722,2851,4459,2702
2020-07-21,-1.9599999999999935,-55.86,-3.25,2628,3158,2846,2722,2851,4459
2020-07-22,-0.28000000000000114,-56.24,-3.1599999999999966,3197,2628,3158,2846,2722,2851
2020-07-23,1.6299999999999957,-57.33,-0.4300000000000068,1978,3197,2628,3158,2846,2722
2020-07-24,14.629999999999995,-54.11,12.549999999999995,1909,1978,3197,2628,3158,2846
2020-07-25,6.5900000000000025,-60.69,13.659999999999995,3568,1909,1978,3197,2628,3158
2020-07-26,-10.670000000000002,-64.00999999999999,-9.340000000000003,1670,3568,1909,1978,3197,2628
2020-07-27,-3.5999999999999943,-55.13,-4.760000000000005,2033,1670,3568,1909,1978,3197
2020-07-28,-0.769999999999996,-55.44,-1.5799999999999983,2614,2033,1670,3568,1909,1978
2020-07-29,1.8700000000000043,-54.28,-0.9500000000000028,4741,2614,2033,1670,3568,1909
2020-07-30,6.129999999999996,-55.61,0.9300000000000068,2489,4741,2614,2033,1670,3568
2020-07-31,20.58,-52.02,16.120000000000005,2609,2489,4741,2614,2033,1670
2020-08-01,12.129999999999995,-58.77,19.870000000000005,2212,2609,2489,4741,2614,2033
2020-08-02,-6.510000000000005,-63.47,-4.189999999999999,1474,2212,2609,2489,4741,2614
2020-08-03,6.629999999999996,-52.74,1.3700000000000043,1621,1474,2212,2609,2489,4741
2020-08-04,5.049999999999997,-53.52,1.1400000000000006,1826,1621,1474,2212,2609,2489
2020-08-05,4.579999999999998,-53.01,2.5799999999999983,2298,1826,1621,1474,2212,2609
2020-08-06,7.230000000000004,-53.92,5.629999999999996,3194,2298,1826,1621,1474,2212
2020-08-07,21.069999999999997,-51.85,19.92,3061,3194,2298,1826,1621,1474
2020-08-08,13.189999999999998,-58.47,23.849999999999994,2594,3061,3194,2298,1826,1621
2020-08-09,-5.900000000000006,-62.96,-0.5400000000000063,1767,2594,3061,3194,2298,1826
2020-08-10,2.0600000000000023,-52.19,1.9399999999999975,1896,1767,2594,3061,3194,2298
2020-08-11,5.079999999999998,-52.8,2.5799999999999983,1384,1896,1767,2594,3061,3194
2020-08-12,8.049999999999997,-52.69,5.810000000000002,2389,1384,1896,1767,2594,3061
2020-08-13,9.760000000000003,-53.69,7.719999999999999,1942,2389,1384,1896,1767,2594
